管脚组,编号,名称,类型,交换,顺序
门-A,203,PDR_ON,Undefined,0,1
门-A,6,VBAT,Undefined,0,2
门-A,92,VCAP_1,Undefined,0,3
门-A,148,VCAP_2,Undefined,0,4
门-A,15,VDD,Undefined,0,5
门-A,26,VDD,Undefined,0,6
门-A,39,VDD,Undefined,0,7
门-A,52,VDD,Undefined,0,8
门-A,59,VDD,Undefined,0,9
门-A,73,VDD,Undefined,0,10
门-A,83,VDD,Undefined,0,11
门-A,94,VDD,Undefined,0,12
门-A,103,VDD,Undefined,0,13
门-A,115,VDD,Undefined,0,14
门-A,124,VDD,Undefined,0,15
门-A,137,VDD,Undefined,0,16
门-A,150,VDD,Undefined,0,17
门-A,158,VDD,Undefined,0,18
门-A,171,VDD,Undefined,0,19
门-A,185,VDD,Undefined,0,20
门-A,204,VDD,Undefined,0,21
门-A,42,VDDA,Undefined,0,22
门-A,41,VREF+,Undefined,0,23
门-A,14,VSS,Undefined,0,24
门-A,25,VSS,Undefined,0,25
门-A,51,VSS,Undefined,0,26
门-A,60,VSS,Undefined,0,27
门-A,72,VSS,Undefined,0,28
门-A,82,VSS,Undefined,0,29
门-A,93,VSS,Undefined,0,30
门-A,114,VSS,Undefined,0,31
门-A,125,VSS,Undefined,0,32
门-A,136,VSS,Undefined,0,33
门-A,149,VSS,Undefined,0,34
门-A,170,VSS,Undefined,0,35
门-A,184,VSS,Undefined,0,36
门-A,202,VSS,Undefined,0,37
门-A,40,VSSA,Undefined,0,38
门-B,9,OSC32_IN,Undefined,0,1
门-B,10,OSC32_OUT,Undefined,0,2
门-B,34,NRST,Undefined,0,3
门-B,63,BOOT1,Undefined,0,4
门-B,141,MCO2,Undefined,0,5
门-B,142,MCO1,Undefined,0,6
门-B,147,JTMS_SWDIO,Undefined,0,7
门-B,159,JTCK-SWCLK,Undefined,0,8
门-B,160,JTDI,Undefined,0,9
门-B,192,JTDO/TRACESWO,Undefined,0,10
门-B,193,NJTRST,Undefined,0,11
门-B,197,BOOT0,Undefined,0,12
门-C,1,FMC_A23,Undefined,0,1
门-C,2,FMC_A19,Undefined,0,2
门-C,3,FMC_A20,Undefined,0,3
门-C,4,FMC_A21,Undefined,0,4
门-C,5,FMC_A22,Undefined,0,5
门-C,11,FMC_D30,Undefined,0,6
门-C,12,FMC_D31,Undefined,0,7
门-C,22,FMC_A3,Undefined,0,8
门-C,23,FMC_A4,Undefined,0,9
门-C,24,FMC_A5,Undefined,0,10
门-C,27,FMC_NIORD,Undefined,0,11
门-C,28,FMC_NREG,Undefined,0,12
门-C,29,FMC_NIOWR,Undefined,0,13
门-C,30,FMC_CD,Undefined,0,14
门-C,31,FMC_INTR,Undefined,0,15
门-C,35,FMC_SDNWE,Undefined,0,16
门-C,37,FMC_SDNE0,Undefined,0,17
门-C,38,FMC_SDCKE0,Undefined,0,18
门-C,46,FMC_SDCKE0,Undefined,0,19
门-C,47,FMC_SDNE0,Undefined,0,20
门-C,49,FMC_SDNWE,Undefined,0,21
门-C,70,FMC_SDNRAS,Undefined,0,22
门-C,71,FMC_A6,Undefined,0,23
门-C,74,FMC_A7,Undefined,0,24
门-C,75,FMC_A8,Undefined,0,25
门-C,76,FMC_A9,Undefined,0,26
门-C,77,FMC_A10,Undefined,0,27
门-C,78,FMC_A11,Undefined,0,28
门-C,79,FMC_D4,Undefined,0,29
门-C,80,FMC_D5,Undefined,0,30
门-C,81,FMC_D6,Undefined,0,31
门-C,84,FMC_D7,Undefined,0,32
门-C,85,FMC_D8,Undefined,0,33
门-C,86,FMC_D9,Undefined,0,34
门-C,87,FMC_D10,Undefined,0,35
门-C,88,FMC_D11,Undefined,0,36
门-C,89,FMC_D12,Undefined,0,37
门-C,96,FMC_SDNE1,Undefined,0,38
门-C,97,FMC_SDCKE1,Undefined,0,39
门-C,98,FMC_D16,Undefined,0,40
门-C,99,FMC_D17,Undefined,0,41
门-C,100,FMC_D18,Undefined,0,42
门-C,101,FMC_D19,Undefined,0,43
门-C,102,FMC_D20,Undefined,0,44
门-C,108,FMC_D13,Undefined,0,45
门-C,109,FMC_D14,Undefined,0,46
门-C,110,FMC_D15,Undefined,0,47
门-C,111,FMC_A16,Undefined,0,48
门-C,112,FMC_A17,Undefined,0,49
门-C,113,FMC_A18,Undefined,0,50
门-C,116,FMC_D0,Undefined,0,51
门-C,117,FMC_D1,Undefined,0,52
门-C,129,FMC_A12,Undefined,0,53
门-C,130,FMC_A13,Undefined,0,54
门-C,131,FMC_A14,Undefined,0,55
门-C,132,FMC_A15,Undefined,0,56
门-C,133,FMC_INT2,Undefined,0,57
门-C,134,FMC_INT3,Undefined,0,58
门-C,135,FMC_SDCLK,Undefined,0,59
门-C,151,FMC_D21,Undefined,0,60
门-C,152,FMC_D22,Undefined,0,61
门-C,153,FMC_D23,Undefined,0,62
门-C,154,FMC_D24,Undefined,0,63
门-C,155,FMC_D25,Undefined,0,64
门-C,156,FMC_D26,Undefined,0,65
门-C,157,FMC_D27,Undefined,0,66
门-C,164,FMC_D2,Undefined,0,67
门-C,165,FMC_D3,Undefined,0,68
门-C,167,FMC_CLK,Undefined,0,69
门-C,168,FMC_NOE,Undefined,0,70
门-C,169,FMC_NWE,Undefined,0,71
门-C,172,FMC_NWAIT,Undefined,0,72
门-C,173,FMC_NE1/FMC_NCE2,Undefined,0,73
门-C,178,FMC_NE2/FMC_NCE3,Undefined,0,74
门-C,179,FMC_NCE4_1/FMC_NE3,Undefined,0,75
门-C,180,FMC_NCE4_2,Undefined,0,76
门-C,181,FMC_NE4,Undefined,0,77
门-C,182,FMC_A24,Undefined,0,78
门-C,183,FMC_A25,Undefined,0,79
门-C,191,FMC_SDNCAS,Undefined,0,80
门-C,194,FMC_SDCKE1,Undefined,0,81
门-C,195,FMC_SDNE1,Undefined,0,82
门-C,196,FMC_NL,Undefined,0,83
门-C,200,FMC_NBL0,Undefined,0,84
门-C,201,FMC_NBL1,Undefined,0,85
门-C,205,FMC_NBL2,Undefined,0,86
门-C,206,FMC_NBL3,Undefined,0,87
门-C,207,FMC_D28,Undefined,0,88
门-C,208,FMC_D29,Undefined,0,89
门-D,7,PI8,Undefined,0,1
门-D,8,PC13,Undefined,0,2
门-D,13,PI11,Undefined,0,3
门-D,16,PF0,Undefined,0,4
门-D,17,PF1,Undefined,0,5
门-D,18,PF2,Undefined,0,6
门-D,19,PI12,Undefined,0,7
门-D,20,PI13,Undefined,0,8
门-D,21,PI14,Undefined,0,9
门-D,32,PH0,Undefined,0,10
门-D,33,PH1,Undefined,0,11
门-D,36,PC1,Undefined,0,12
门-D,43,PA0,Undefined,0,13
门-D,44,PA1,Undefined,0,14
门-D,45,PA2,Undefined,0,15
门-D,48,PH4,Undefined,0,16
门-D,50,PA3,Undefined,0,17
门-D,57,PC4,Undefined,0,18
门-D,58,PC5,Undefined,0,19
门-D,61,PB0,Undefined,0,20
门-D,62,PB1,Undefined,0,21
门-D,64,PI15,Undefined,0,22
门-D,65,PJ0,Undefined,0,23
门-D,66,PJ1,Undefined,0,24
门-D,67,PJ2,Undefined,0,25
门-D,68,PJ3,Undefined,0,26
门-D,69,PJ4,Undefined,0,27
门-D,90,PB10,Undefined,0,28
门-D,91,PB11,Undefined,0,29
门-D,95,PJ5,Undefined,0,30
门-D,104,PB12,Undefined,0,31
门-D,105,PB13,Undefined,0,32
门-D,106,PB14,Undefined,0,33
门-D,107,PB15,Undefined,0,34
门-D,118,PJ6,Undefined,0,35
门-D,119,PJ7,Undefined,0,36
门-D,120,PJ8,Undefined,0,37
门-D,121,PJ9,Undefined,0,38
门-D,122,PJ10,Undefined,0,39
门-D,123,PJ11,Undefined,0,40
门-D,126,PK0,Undefined,0,41
门-D,127,PK1,Undefined,0,42
门-D,128,PK2,Undefined,0,43
门-D,138,PC6,Undefined,0,44
门-D,139,PC7,Undefined,0,45
门-D,140,PC8,Undefined,0,46
门-D,143,PA9,Undefined,0,47
门-D,144,PA10,Undefined,0,48
门-D,145,PA11,Undefined,0,49
门-D,146,PA12,Undefined,0,50
门-D,161,PC10,Undefined,0,51
门-D,162,PC11,Undefined,0,52
门-D,163,PC12,Undefined,0,53
门-D,166,PD2,Undefined,0,54
门-D,174,PJ12,Undefined,0,55
门-D,175,PJ13,Undefined,0,56
门-D,176,PJ14,Undefined,0,57
门-D,177,PJ15,Undefined,0,58
门-D,186,PK3,Undefined,0,59
门-D,187,PK4,Undefined,0,60
门-D,188,PK5,Undefined,0,61
门-D,189,PK6,Undefined,0,62
门-D,190,PK7,Undefined,0,63
门-D,198,PB8,Undefined,0,64
门-D,199,PB9,Undefined,0,65
门-D,53,PA4,Undefined,0,66
门-D,54,PA5,Undefined,0,67
门-D,55,PA6,Undefined,0,68
门-D,56,PA7,Undefined,0,69
